004FF520  GetDlgItemTextA              USER32  
004FF210  GetDriveTypeA                KERNEL32
004FF260  GetEnvironmentStrings        KERNEL32
004FF268  GetEnvironmentStringsW       KERNEL32
004FF2E0  GetFileAttributesA           KERNEL32
004FF2E4  GetFileSize                  KERNEL32
004FF20C  GetFileTime                  KERNEL32
004FF270  GetFileType                  KERNEL32
004FF5F8  GetFocus                     USER32  
004FF214  GetFullPathNameA             KERNEL32
004FF728  GetHGlobalFromILockBytes     ole32   
004FF414  GetKeyState                  USER32  
004FF454  GetLastActivePopup           USER32  
004FF308  GetLastError                 KERNEL32
004FF220  GetLocalTime                 KERNEL32
004FF48C  GetMenu                      USER32  
004FF478  GetMenuItemCount             USER32  
004FF474  GetMenuItemID                USER32  
004FF470  GetMenuState                 USER32  
004FF46C  GetMenuStringA               USER32  
004FF440  GetMessageA                  USER32  
004FF1B4  GetModuleFileNameA           KERNEL32
004FF37C  GetModuleHandleA             KERNEL32
004FF158  GetNearestColor              GDI32   
004FF13C  GetNearestPaletteIndex       GDI32   
004FF560  GetNextDlgGroupItem          USER32  
004FF244  GetOEMCP                     KERNEL32
004FF12C  GetObjectA                   GDI32   
004FF638  GetOpenFileNameA             comdlg32
004FF198  GetOutlineTextMetricsA       GDI32   
004FF144  GetPaletteEntries            GDI32   
004FF5DC  GetParent                    USER32  
004FF14C  GetPixel                     GDI32   
004FF61C  GetPrinterA                  WINSPOOL
004FF1C0  GetPrivateProfileStringA     KERNEL32
004FF340  GetProcAddress               KERNEL32
004FF1D0  GetProfileIntA               KERNEL32
004FF1CC  GetProfileStringA            KERNEL32
004FF4FC  GetPropA                     USER32  
004FF038  GetRgnBox                    GDI32   
004FF630  GetSaveFileNameA             comdlg32
004FF224  GetStartupInfoA              KERNEL32
004FF274  GetStdHandle                 KERNEL32
004FF030  GetStockObject               GDI32   
004FF288  GetStringTypeA               KERNEL32
004FF28C  GetStringTypeW               KERNEL32
004FF5FC  GetSubMenu                   USER32  
004FF558  GetSysColor                  USER32  
004FF1A4  GetSystemDirectoryA          KERNEL32
004FF310  GetSystemInfo                KERNEL32
004FF45C  GetSystemMenu                USER32  
004FF59C  GetSystemMetrics             USER32  
004FF128  GetSystemPaletteEntries      GDI32   
004FF108  GetSystemPaletteUse          GDI32   
004FF21C  GetSystemTime                KERNEL32
004FF2E8  GetTempFileNameA             KERNEL32
